Name,Price,Speed,Control,Stiffness,Weight,Hardness,Consistency,Grip,GripType
Yinhe T-11+,42,9.3,8.9,7.2,70,7.1,8.8,PENHOLD,
Yinhe T-11+,42,9.3,8.9,7.2,70,7.1,8.8,SHAKEHAND,FL
Yinhe T-8,28,9.3,8.6,6.6,86,6.8,8.7,PENHOLD,
Yinhe T-8,28,9.3,8.6,6.6,86,6.8,8.7,SHAKEHAND,FL
Yinhe T-8S,48,9.3,9.2,6,86,6,10,PENHOLD,
Yinhe T-8S,48,9.3,9.2,6,86,6,10,SHAKEHAND,FL
Yinhe Venus V-14,46,9,9,5.6,87,5.6,9.8,PENHOLD,
Yinhe Venus V-14,46,9,9,5.6,87,5.6,9.8,SHAKEHAND,FL
Yinhe Venus V-14 PRO,60,9.1,9.1,6.1,85,6.6,9.2,PENHOLD,
Yinhe Venus V-14 PRO,60,9.1,9.1,6.1,85,6.6,9.2,SHAKEHAND,FL
